"","seqid","source","type","start","end","score","strand","phase","attributes"
"238958.1","NC_059189.1","Gnomon","gene",995527,997341,".","+",".","ID=gene-LOC123475606;Dbxref=GeneID:123475606;Name=LOC123475606;gbkey=Gene;gene=LOC123475606;gene_biotype=protein_coding"
"238959.1","NC_059189.1","Gnomon","mRNA",995527,997341,".","+",".","ID=rna-XM_045178541.1;Parent=gene-LOC123475606;Dbxref=GeneID:123475606,Genbank:XM_045178541.1;Name=XM_045178541.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC123475606;model_evidence=Supporting evidence includes similarity to: 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 67 samples with support for all annotated introns;product=uncharacterized LOC123475606;transcript_id=XM_045178541.1"
"238961.1","NC_059189.1","Gnomon","exon",995803,996708,".","+",".","ID=exon-XM_045178541.1-2;Parent=rna-XM_045178541.1;Dbxref=GeneID:123475606,Genbank:XM_045178541.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC123475606;product=uncharacterized LOC123475606;transcript_id=XM_045178541.1"
"238965.1","NC_059189.1","Gnomon","CDS",995803,996708,".","+","0","ID=cds-XP_045034476.1;Parent=rna-XM_045178541.1;Dbxref=GeneID:123475606,Genbank:XP_045034476.1;Name=XP_045034476.1;gbkey=CDS;gene=LOC123475606;product=uncharacterized protein LOC123475606;protein_id=XP_045034476.1"
"249539","NC_059189.1","Gnomon","gene",2961307,2964235,".","-",".","ID=gene-LOC116928794;Dbxref=GeneID:116928794;Name=LOC116928794;gbkey=Gene;gene=LOC116928794;gene_biotype=protein_coding"
"249540","NC_059189.1","Gnomon","mRNA",2961307,2964235,".","-",".","ID=rna-XM_032935912.2;Parent=gene-LOC116928794;Dbxref=GeneID:116928794,Genbank:XM_032935912.2;Name=XM_032935912.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116928794;model_evidence=Supporting evidence includes similarity to: 2 mRNAs%2C 4 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 122 samples with support for all annotated introns;product=protein scarlet;transcript_id=XM_032935912.2"
"249553","NC_059189.1","Gnomon","exon",2961307,2961629,".","-",".","ID=exon-XM_032935912.2-13;Parent=rna-XM_032935912.2;Dbxref=GeneID:116928794,Genbank:XM_032935912.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116928794;product=protein scarlet;transcript_id=XM_032935912.2"
"249566","NC_059189.1","Gnomon","CDS",2961362,2961629,".","-","1","ID=cds-XP_032791803.2;Parent=rna-XM_032935912.2;Dbxref=GeneID:116928794,Genbank:XP_032791803.2;Name=XP_032791803.2;gbkey=CDS;gene=LOC116928794;product=protein scarlet;protein_id=XP_032791803.2"
"256856","NC_059189.1","Gnomon","gene",4097108,4099583,".","+",".","ID=gene-LOC116929017;Dbxref=GeneID:116929017;Name=LOC116929017;gbkey=Gene;gene=LOC116929017;gene_biotype=protein_coding"
"256857","NC_059189.1","Gnomon","mRNA",4097108,4099583,".","+",".","ID=rna-XM_032936174.2;Parent=gene-LOC116929017;Dbxref=GeneID:116929017,Genbank:XM_032936174.2;Name=XM_032936174.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116929017;model_evidence=Supporting evidence includes similarity to: 3 ESTs%2C 1 Protein%2C and 95%25 coverage of the annotated genomic feature by RNAseq alignments;product=putative per-hexamer repeat protein 5%2C transcript variant X3;transcript_id=XM_032936174.2"
"256879","NC_059189.1","Gnomon","mRNA",4098771,4099583,".","+",".","ID=rna-XM_045177646.1;Parent=gene-LOC116929017;Dbxref=GeneID:116929017,Genbank:XM_045177646.1;Name=XM_045177646.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116929017;model_evidence=Supporting evidence includes similarity to: 6 ESTs%2C 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 141 samples with support for all annotated introns;product=putative per-hexamer repeat protein 5%2C transcript variant X2;transcript_id=XM_045177646.1"
"256881","NC_059189.1","Gnomon","exon",4098964,4099099,".","+",".","ID=exon-XM_045177646.1-2;Parent=rna-XM_045177646.1;Dbxref=GeneID:116929017,Genbank:XM_045177646.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116929017;product=putative per-hexamer repeat protein 5%2C transcript variant X2;transcript_id=XM_045177646.1"
"256885","NC_059189.1","Gnomon","CDS",4098964,4099099,".","+","0","ID=cds-XP_045033581.1;Parent=rna-XM_045177646.1;Dbxref=GeneID:116929017,Genbank:XP_045033581.1;Name=XP_045033581.1;gbkey=CDS;gene=LOC116929017;product=putative glycine-rich cell wall structural protein 1 isoform X2;protein_id=XP_045033581.1"
"269253","NC_059189.1","Gnomon","gene",9102833,9104907,".","-",".","ID=gene-LOC116929709;Dbxref=GeneID:116929709;Name=LOC116929709;gbkey=Gene;gene=LOC116929709;gene_biotype=protein_coding"
"269254","NC_059189.1","Gnomon","mRNA",9102833,9104907,".","-",".","ID=rna-XM_032937044.2;Parent=gene-LOC116929709;Dbxref=GeneID:116929709,Genbank:XM_032937044.2;Name=XM_032937044.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116929709;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 132 samples with support for all annotated introns;product=COP1-interactive protein 1;transcript_id=XM_032937044.2"
"269259","NC_059189.1","Gnomon","exon",9103599,9103834,".","-",".","ID=exon-XM_032937044.2-5;Parent=rna-XM_032937044.2;Dbxref=GeneID:116929709,Genbank:XM_032937044.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116929709;product=COP1-interactive protein 1;transcript_id=XM_032937044.2"
"269267","NC_059189.1","Gnomon","CDS",9103599,9103834,".","-","0","ID=cds-XP_032792935.2;Parent=rna-XM_032937044.2;Dbxref=GeneID:116929709,Genbank:XP_032792935.2;Name=XP_032792935.2;gbkey=CDS;gene=LOC116929709;product=COP1-interactive protein 1;protein_id=XP_032792935.2"
"1.21","NC_059182.1","RefSeq","region",1,19099978,".","+",".","ID=NC_059182.1:1..19099978;Dbxref=taxon:35525;Name=LG1;collection-date=1986;country=USA: Minnesota;gbkey=Src;genome=chromosome;identified-by=National Institute for Environmental Studies (NIES) in Japan;isolate=NIES;isolation-source=Duluth%2C Minnesota;linkage-group=LG1;mol_type=genomic DNA;sex=female;tissue-type=Whole Body"
"10119","NC_059182.1","Gnomon","gene",1532051,1533386,".","+",".","ID=gene-LOC116920335;Dbxref=GeneID:116920335;Name=LOC116920335;gbkey=Gene;gene=LOC116920335;gene_biotype=protein_coding"
"10120","NC_059182.1","Gnomon","mRNA",1532051,1533386,".","+",".","ID=rna-XM_032926552.2;Parent=gene-LOC116920335;Dbxref=GeneID:116920335,Genbank:XM_032926552.2;Name=XM_032926552.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116920335;model_evidence=Supporting evidence includes similarity to: 1 EST%2C 14 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 146 samples with support for all annotated introns;product=Golgi SNAP receptor complex member 1;transcript_id=XM_032926552.2"
"1.22","NC_059182.1","RefSeq","region",1,19099978,".","+",".","ID=NC_059182.1:1..19099978;Dbxref=taxon:35525;Name=LG1;collection-date=1986;country=USA: Minnesota;gbkey=Src;genome=chromosome;identified-by=National Institute for Environmental Studies (NIES) in Japan;isolate=NIES;isolation-source=Duluth%2C Minnesota;linkage-group=LG1;mol_type=genomic DNA;sex=female;tissue-type=Whole Body"
"10119.1","NC_059182.1","Gnomon","gene",1532051,1533386,".","+",".","ID=gene-LOC116920335;Dbxref=GeneID:116920335;Name=LOC116920335;gbkey=Gene;gene=LOC116920335;gene_biotype=protein_coding"
"10120.1","NC_059182.1","Gnomon","mRNA",1532051,1533386,".","+",".","ID=rna-XM_032926552.2;Parent=gene-LOC116920335;Dbxref=GeneID:116920335,Genbank:XM_032926552.2;Name=XM_032926552.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116920335;model_evidence=Supporting evidence includes similarity to: 1 EST%2C 14 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 146 samples with support for all annotated introns;product=Golgi SNAP receptor complex member 1;transcript_id=XM_032926552.2"
"1.23","NC_059182.1","RefSeq","region",1,19099978,".","+",".","ID=NC_059182.1:1..19099978;Dbxref=taxon:35525;Name=LG1;collection-date=1986;country=USA: Minnesota;gbkey=Src;genome=chromosome;identified-by=National Institute for Environmental Studies (NIES) in Japan;isolate=NIES;isolation-source=Duluth%2C Minnesota;linkage-group=LG1;mol_type=genomic DNA;sex=female;tissue-type=Whole Body"
"41156","NC_059182.1","Gnomon","gene",6381116,6384195,".","+",".","ID=gene-LOC116925677;Dbxref=GeneID:116925677;Name=LOC116925677;gbkey=Gene;gene=LOC116925677;gene_biotype=protein_coding"
"41157","NC_059182.1","Gnomon","mRNA",6381116,6384195,".","+",".","ID=rna-XM_032932403.2;Parent=gene-LOC116925677;Dbxref=GeneID:116925677,Genbank:XM_032932403.2;Name=XM_032932403.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116925677;model_evidence=Supporting evidence includes similarity to: 5 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 76 samples with support for all annotated introns;product=uncharacterized LOC116925677;transcript_id=XM_032932403.2"
"41166","NC_059182.1","Gnomon","exon",6383402,6384195,".","+",".","ID=exon-XM_032932403.2-9;Parent=rna-XM_032932403.2;Dbxref=GeneID:116925677,Genbank:XM_032932403.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116925677;product=uncharacterized LOC116925677;transcript_id=XM_032932403.2"
"41174","NC_059182.1","Gnomon","CDS",6383402,6384091,".","+","0","ID=cds-XP_032788294.2;Parent=rna-XM_032932403.2;Dbxref=GeneID:116925677,Genbank:XP_032788294.2;Name=XP_032788294.2;gbkey=CDS;gene=LOC116925677;product=uncharacterized protein LOC116925677;protein_id=XP_032788294.2"
"1.24","NC_059182.1","RefSeq","region",1,19099978,".","+",".","ID=NC_059182.1:1..19099978;Dbxref=taxon:35525;Name=LG1;collection-date=1986;country=USA: Minnesota;gbkey=Src;genome=chromosome;identified-by=National Institute for Environmental Studies (NIES) in Japan;isolate=NIES;isolation-source=Duluth%2C Minnesota;linkage-group=LG1;mol_type=genomic DNA;sex=female;tissue-type=Whole Body"
"42654","NC_059182.1","Gnomon","gene",6595864,6597422,".","-",".","ID=gene-LOC116927629;Dbxref=GeneID:116927629;Name=LOC116927629;gbkey=Gene;gene=LOC116927629;gene_biotype=protein_coding"
"42655","NC_059182.1","Gnomon","mRNA",6595864,6597422,".","-",".","ID=rna-XM_032934699.2;Parent=gene-LOC116927629;Dbxref=GeneID:116927629,Genbank:XM_032934699.2;Name=XM_032934699.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116927629;model_evidence=Supporting evidence includes similarity to: 8 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 146 samples with support for all annotated introns;product=maspardin;transcript_id=XM_032934699.2"
"42662","NC_059182.1","Gnomon","exon",6595864,6596209,".","-",".","ID=exon-XM_032934699.2-7;Parent=rna-XM_032934699.2;Dbxref=GeneID:116927629,Genbank:XM_032934699.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116927629;product=maspardin;transcript_id=XM_032934699.2"
"1.25","NC_059182.1","RefSeq","region",1,19099978,".","+",".","ID=NC_059182.1:1..19099978;Dbxref=taxon:35525;Name=LG1;collection-date=1986;country=USA: Minnesota;gbkey=Src;genome=chromosome;identified-by=National Institute for Environmental Studies (NIES) in Japan;isolate=NIES;isolation-source=Duluth%2C Minnesota;linkage-group=LG1;mol_type=genomic DNA;sex=female;tissue-type=Whole Body"
"42654.1","NC_059182.1","Gnomon","gene",6595864,6597422,".","-",".","ID=gene-LOC116927629;Dbxref=GeneID:116927629;Name=LOC116927629;gbkey=Gene;gene=LOC116927629;gene_biotype=protein_coding"
"42655.1","NC_059182.1","Gnomon","mRNA",6595864,6597422,".","-",".","ID=rna-XM_032934699.2;Parent=gene-LOC116927629;Dbxref=GeneID:116927629,Genbank:XM_032934699.2;Name=XM_032934699.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116927629;model_evidence=Supporting evidence includes similarity to: 8 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 146 samples with support for all annotated introns;product=maspardin;transcript_id=XM_032934699.2"
"42662.1","NC_059182.1","Gnomon","exon",6595864,6596209,".","-",".","ID=exon-XM_032934699.2-7;Parent=rna-XM_032934699.2;Dbxref=GeneID:116927629,Genbank:XM_032934699.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116927629;product=maspardin;transcript_id=XM_032934699.2"
"1.26","NC_059182.1","RefSeq","region",1,19099978,".","+",".","ID=NC_059182.1:1..19099978;Dbxref=taxon:35525;Name=LG1;collection-date=1986;country=USA: Minnesota;gbkey=Src;genome=chromosome;identified-by=National Institute for Environmental Studies (NIES) in Japan;isolate=NIES;isolation-source=Duluth%2C Minnesota;linkage-group=LG1;mol_type=genomic DNA;sex=female;tissue-type=Whole Body"
"42654.2","NC_059182.1","Gnomon","gene",6595864,6597422,".","-",".","ID=gene-LOC116927629;Dbxref=GeneID:116927629;Name=LOC116927629;gbkey=Gene;gene=LOC116927629;gene_biotype=protein_coding"
"42655.2","NC_059182.1","Gnomon","mRNA",6595864,6597422,".","-",".","ID=rna-XM_032934699.2;Parent=gene-LOC116927629;Dbxref=GeneID:116927629,Genbank:XM_032934699.2;Name=XM_032934699.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116927629;model_evidence=Supporting evidence includes similarity to: 8 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 146 samples with support for all annotated introns;product=maspardin;transcript_id=XM_032934699.2"
"42662.2","NC_059182.1","Gnomon","exon",6595864,6596209,".","-",".","ID=exon-XM_032934699.2-7;Parent=rna-XM_032934699.2;Dbxref=GeneID:116927629,Genbank:XM_032934699.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116927629;product=maspardin;transcript_id=XM_032934699.2"
"1.27","NC_059182.1","RefSeq","region",1,19099978,".","+",".","ID=NC_059182.1:1..19099978;Dbxref=taxon:35525;Name=LG1;collection-date=1986;country=USA: Minnesota;gbkey=Src;genome=chromosome;identified-by=National Institute for Environmental Studies (NIES) in Japan;isolate=NIES;isolation-source=Duluth%2C Minnesota;linkage-group=LG1;mol_type=genomic DNA;sex=female;tissue-type=Whole Body"
"42654.3","NC_059182.1","Gnomon","gene",6595864,6597422,".","-",".","ID=gene-LOC116927629;Dbxref=GeneID:116927629;Name=LOC116927629;gbkey=Gene;gene=LOC116927629;gene_biotype=protein_coding"
"42655.3","NC_059182.1","Gnomon","mRNA",6595864,6597422,".","-",".","ID=rna-XM_032934699.2;Parent=gene-LOC116927629;Dbxref=GeneID:116927629,Genbank:XM_032934699.2;Name=XM_032934699.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116927629;model_evidence=Supporting evidence includes similarity to: 8 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 146 samples with support for all annotated introns;product=maspardin;transcript_id=XM_032934699.2"
"42662.3","NC_059182.1","Gnomon","exon",6595864,6596209,".","-",".","ID=exon-XM_032934699.2-7;Parent=rna-XM_032934699.2;Dbxref=GeneID:116927629,Genbank:XM_032934699.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116927629;product=maspardin;transcript_id=XM_032934699.2"
"1.28","NC_059182.1","RefSeq","region",1,19099978,".","+",".","ID=NC_059182.1:1..19099978;Dbxref=taxon:35525;Name=LG1;collection-date=1986;country=USA: Minnesota;gbkey=Src;genome=chromosome;identified-by=National Institute for Environmental Studies (NIES) in Japan;isolate=NIES;isolation-source=Duluth%2C Minnesota;linkage-group=LG1;mol_type=genomic DNA;sex=female;tissue-type=Whole Body"
"1.29","NC_059182.1","RefSeq","region",1,19099978,".","+",".","ID=NC_059182.1:1..19099978;Dbxref=taxon:35525;Name=LG1;collection-date=1986;country=USA: Minnesota;gbkey=Src;genome=chromosome;identified-by=National Institute for Environmental Studies (NIES) in Japan;isolate=NIES;isolation-source=Duluth%2C Minnesota;linkage-group=LG1;mol_type=genomic DNA;sex=female;tissue-type=Whole Body"
"1.30","NC_059182.1","RefSeq","region",1,19099978,".","+",".","ID=NC_059182.1:1..19099978;Dbxref=taxon:35525;Name=LG1;collection-date=1986;country=USA: Minnesota;gbkey=Src;genome=chromosome;identified-by=National Institute for Environmental Studies (NIES) in Japan;isolate=NIES;isolation-source=Duluth%2C Minnesota;linkage-group=LG1;mol_type=genomic DNA;sex=female;tissue-type=Whole Body"
"1.31","NC_059182.1","RefSeq","region",1,19099978,".","+",".","ID=NC_059182.1:1..19099978;Dbxref=taxon:35525;Name=LG1;collection-date=1986;country=USA: Minnesota;gbkey=Src;genome=chromosome;identified-by=National Institute for Environmental Studies (NIES) in Japan;isolate=NIES;isolation-source=Duluth%2C Minnesota;linkage-group=LG1;mol_type=genomic DNA;sex=female;tissue-type=Whole Body"
"1.32","NC_059182.1","RefSeq","region",1,19099978,".","+",".","ID=NC_059182.1:1..19099978;Dbxref=taxon:35525;Name=LG1;collection-date=1986;country=USA: Minnesota;gbkey=Src;genome=chromosome;identified-by=National Institute for Environmental Studies (NIES) in Japan;isolate=NIES;isolation-source=Duluth%2C Minnesota;linkage-group=LG1;mol_type=genomic DNA;sex=female;tissue-type=Whole Body"
"49216","NC_059182.1","Gnomon","gene",16255892,16266538,".","+",".","ID=gene-LOC116931745;Dbxref=GeneID:116931745;Name=LOC116931745;gbkey=Gene;gene=LOC116931745;gene_biotype=protein_coding"
"49217","NC_059182.1","Gnomon","mRNA",16255892,16266538,".","+",".","ID=rna-XM_032939388.2;Parent=gene-LOC116931745;Dbxref=GeneID:116931745,Genbank:XM_032939388.2;Name=XM_032939388.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116931745;model_evidence=Supporting evidence includes similarity to: 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 120 samples with support for all annotated introns;product=huntingtin;transcript_id=XM_032939388.2"
"49237","NC_059182.1","Gnomon","exon",16261548,16261711,".","+",".","ID=exon-XM_032939388.2-20;Parent=rna-XM_032939388.2;Dbxref=GeneID:116931745,Genbank:XM_032939388.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116931745;product=huntingtin;transcript_id=XM_032939388.2"
"49277","NC_059182.1","Gnomon","CDS",16261548,16261711,".","+","1","ID=cds-XP_032795279.2;Parent=rna-XM_032939388.2;Dbxref=GeneID:116931745,Genbank:XP_032795279.2;Name=XP_032795279.2;gbkey=CDS;gene=LOC116931745;product=huntingtin;protein_id=XP_032795279.2"
"78152","NC_059183.1","RefSeq","cDNA_match",13495970,13497328,".","-",".","ID=c0cd106f-7e54-4f69-9126-945ee714e8d9;Target=XM_045169818.1 649 2007 +;for_remapping=2;gap_count=7;num_ident=12975;num_mismatch=0;pct_coverage=100;pct_coverage_hiqual=100;pct_identity_gap=99.9384;pct_identity_ungap=100;rank=1"
"64892","NC_059183.1","Gnomon","gene",16721806,16724000,".","-",".","ID=gene-LOC116917695;Dbxref=GeneID:116917695;Name=LOC116917695;gbkey=Gene;gene=LOC116917695;gene_biotype=protein_coding"
"64893","NC_059183.1","Gnomon","transcript",16721806,16723964,".","-",".","ID=rna-XR_004391231.2;Parent=gene-LOC116917695;Dbxref=GeneID:116917695,Genbank:XR_004391231.2;Name=XR_004391231.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=misc_RNA;gene=LOC116917695;model_evidence=Supporting evidence includes similarity to: 15 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 123 samples with support for all annotated introns;product=tRNA N(3)-methylcytidine methyltransferase METTL6%2C transcript variant X2;transcript_id=XR_004391231.2"
"64902","NC_059183.1","Gnomon","transcript",16721806,16723964,".","-",".","ID=rna-XR_004391232.2;Parent=gene-LOC116917695;Dbxref=GeneID:116917695,Genbank:XR_004391232.2;Name=XR_004391232.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=misc_RNA;gene=LOC116917695;model_evidence=Supporting evidence includes similarity to: 15 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 117 samples with support for all annotated introns;product=tRNA N(3)-methylcytidine methyltransferase METTL6%2C transcript variant X5;transcript_id=XR_004391232.2"
"64911","NC_059183.1","Gnomon","transcript",16721806,16723964,".","-",".","ID=rna-XR_006643106.1;Parent=gene-LOC116917695;Dbxref=GeneID:116917695,Genbank:XR_006643106.1;Name=XR_006643106.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=misc_RNA;gene=LOC116917695;model_evidence=Supporting evidence includes similarity to: 15 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 118 samples with support for all annotated introns;product=tRNA N(3)-methylcytidine methyltransferase METTL6%2C transcript variant X4;transcript_id=XR_006643106.1"
"64919","NC_059183.1","Gnomon","mRNA",16721806,16724000,".","-",".","ID=rna-XM_045169038.1;Parent=gene-LOC116917695;Dbxref=GeneID:116917695,Genbank:XM_045169038.1;Name=XM_045169038.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116917695;model_evidence=Supporting evidence includes similarity to: 15 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 145 samples with support for all annotated introns;product=tRNA N(3)-methylcytidine methyltransferase METTL6%2C transcript variant X6;transcript_id=XM_045169038.1"
"64929","NC_059183.1","Gnomon","mRNA",16721806,16723964,".","-",".","ID=rna-XM_045169037.1;Parent=gene-LOC116917695;Dbxref=GeneID:116917695,Genbank:XM_045169037.1;Name=XM_045169037.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116917695;model_evidence=Supporting evidence includes similarity to: 15 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 124 samples with support for all annotated introns;product=tRNA N(3)-methylcytidine methyltransferase METTL6%2C transcript variant X1;transcript_id=XM_045169037.1"
"64940","NC_059183.1","Gnomon","mRNA",16721806,16723964,".","-",".","ID=rna-XM_032923276.2;Parent=gene-LOC116917695;Dbxref=GeneID:116917695,Genbank:XM_032923276.2;Name=XM_032923276.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116917695;model_evidence=Supporting evidence includes similarity to: 15 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 118 samples with support for all annotated introns;product=tRNA N(3)-methylcytidine methyltransferase METTL6%2C transcript variant X3;transcript_id=XM_032923276.2"
"79120.18","NC_059184.1","RefSeq","region",1,13906530,".","+",".","ID=NC_059184.1:1..13906530;Dbxref=taxon:35525;Name=LG3;collection-date=1986;country=USA: Minnesota;gbkey=Src;genome=chromosome;identified-by=National Institute for Environmental Studies (NIES) in Japan;isolate=NIES;isolation-source=Duluth%2C Minnesota;linkage-group=LG3;mol_type=genomic DNA;sex=female;tissue-type=Whole Body"
"111857.12","NC_059185.1","RefSeq","region",1,13367246,".","+",".","ID=NC_059185.1:1..13367246;Dbxref=taxon:35525;Name=LG4;collection-date=1986;country=USA: Minnesota;gbkey=Src;genome=chromosome;identified-by=National Institute for Environmental Studies (NIES) in Japan;isolate=NIES;isolation-source=Duluth%2C Minnesota;linkage-group=LG4;mol_type=genomic DNA;sex=female;tissue-type=Whole Body"
"111857.13","NC_059185.1","RefSeq","region",1,13367246,".","+",".","ID=NC_059185.1:1..13367246;Dbxref=taxon:35525;Name=LG4;collection-date=1986;country=USA: Minnesota;gbkey=Src;genome=chromosome;identified-by=National Institute for Environmental Studies (NIES) in Japan;isolate=NIES;isolation-source=Duluth%2C Minnesota;linkage-group=LG4;mol_type=genomic DNA;sex=female;tissue-type=Whole Body"
"179742.1","NC_059185.1","Gnomon","gene",13086631,13113785,".","-",".","ID=gene-LOC116920404;Dbxref=GeneID:116920404;Name=LOC116920404;gbkey=Gene;gene=LOC116920404;gene_biotype=lncRNA"
"179743.1","NC_059185.1","Gnomon","lnc_RNA",13086631,13113785,".","-",".","ID=rna-XR_006645964.1;Parent=gene-LOC116920404;Dbxref=GeneID:116920404,Genbank:XR_006645964.1;Name=XR_006645964.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=ncRNA;gene=LOC116920404;model_evidence=Supporting evidence includes similarity to: 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 13 samples with support for all annotated introns;product=uncharacterized LOC116920404%2C transcript variant X5;transcript_id=XR_006645964.1"
"179797.1","NC_059185.1","Gnomon","gene",13090949,13115754,".","+",".","ID=gene-LOC116920358;Dbxref=GeneID:116920358;Name=LOC116920358;gbkey=Gene;gene=LOC116920358;gene_biotype=protein_coding"
"179798.1","NC_059185.1","Gnomon","mRNA",13090949,13115754,".","+",".","ID=rna-XM_045172821.1;Parent=gene-LOC116920358;Dbxref=GeneID:116920358,Genbank:XM_045172821.1;Name=XM_045172821.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116920358;model_evidence=Supporting evidence includes similarity to: 1 EST%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 106 samples with support for all annotated introns;product=RGS domain-containing serine/threonine-protein kinase A%2C transcript variant X3;transcript_id=XM_045172821.1"
"179945","NC_059185.1","Gnomon","gene",13102170,13109538,".","-",".","ID=gene-LOC123471478;Dbxref=GeneID:123471478;Name=LOC123471478;gbkey=Gene;gene=LOC123471478;gene_biotype=lncRNA"
"179946","NC_059185.1","Gnomon","lnc_RNA",13102170,13109538,".","-",".","ID=rna-XR_006645972.1;Parent=gene-LOC123471478;Dbxref=GeneID:123471478,Genbank:XR_006645972.1;Name=XR_006645972.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=ncRNA;gene=LOC123471478;model_evidence=Supporting evidence includes similarity to: 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 42 samples with support for all annotated introns;product=uncharacterized LOC123471478;transcript_id=XR_006645972.1"
"179949","NC_059185.1","Gnomon","exon",13104594,13107567,".","-",".","ID=exon-XR_006645972.1-3;Parent=rna-XR_006645972.1;Dbxref=GeneID:123471478,Genbank:XR_006645972.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=ncRNA;gene=LOC123471478;product=uncharacterized LOC123471478;transcript_id=XR_006645972.1"
"111857.14","NC_059185.1","RefSeq","region",1,13367246,".","+",".","ID=NC_059185.1:1..13367246;Dbxref=taxon:35525;Name=LG4;collection-date=1986;country=USA: Minnesota;gbkey=Src;genome=chromosome;identified-by=National Institute for Environmental Studies (NIES) in Japan;isolate=NIES;isolation-source=Duluth%2C Minnesota;linkage-group=LG4;mol_type=genomic DNA;sex=female;tissue-type=Whole Body"
"179742.2","NC_059185.1","Gnomon","gene",13086631,13113785,".","-",".","ID=gene-LOC116920404;Dbxref=GeneID:116920404;Name=LOC116920404;gbkey=Gene;gene=LOC116920404;gene_biotype=lncRNA"
